jst_sku_id,skuCode,skuName,category,brand,item_type,format_type
6955631313927,6955631313927,1 儿童触屏小相机--KU,成品 - 成品,EMIE,finished_good,13-digit
6955631313149,6955631313149,10 亿觅心愿充电宝--CN,成品 - 成品,EMIE,finished_good,13-digit
6955631313132,6955631313132,10 亿觅心愿充电宝--KU,成品 - 成品,EMIE,finished_good,13-digit
6955631310933,6955631310933,221 亿觅杯面加湿器-大耳狗-,成品 - 成品,EMIE,finished_good,13-digit
6955631315846,6955631315846,600耳机收纳包--粉色,成品 - 成品,EMIE,finished_good,13-digit
6955631315839,6955631315839,600耳机收纳包--蓝色,成品 - 成品,EMIE,finished_good,13-digit
6955631315822,6955631315822,600耳机收纳包--黑色,成品 - 成品,EMIE,finished_good,13-digit
6955631309869,6955631309869,650亿觅智能温控暖宫带Hello kitty,成品 - 成品,EMIE,finished_good,13-digit
6955631310001,6955631310001,651亿觅智能温控围脖-Hello kitty,成品 - 成品,EMIE,finished_good,13-digit
6955631313750,6955631313750,A2103 亿觅台灯--CN,成品 - 成品,EMIE,finished_good,13-digit
6955631313880,6955631313880,A2103 亿觅台灯--EMMA款,成品 - 成品,EMIE,finished_good,13-digit
6955631313767,6955631313767,A2103 亿觅台灯--KT,成品 - 成品,EMIE,finished_good,13-digit
6955631313743,6955631313743,A2103 亿觅台灯--KU,成品 - 成品,EMIE,finished_good,13-digit
6955631315747,6955631315747,A2112 亿觅小蓓蕾充电台灯--KT,成品 - 成品,EMIE,finished_good,13-digit
6955631313842,6955631313842,B400C1 亿觅智能咖啡杯--KU,成品 - 成品,EMIE,finished_good,13-digit
6955631312135,6955631312135,CN,成品 - 成品,EMIE,finished_good,13-digit
6955631312128,6955631312128,CN,成品 - 成品,EMIE,finished_good,13-digit
6955631312586,6955631312586,CN,成品 - 成品,EMIE,finished_good,13-digit
6955631311671,6955631311671,CN 0009-大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631311039,6955631311039,CN-,成品 - 成品,EMIE,finished_good,13-digit
6955631310964,6955631310964,CN-,成品 - 成品,EMIE,finished_good,13-digit
6955631311534,6955631311534,CN-CN,成品 - 成品,EMIE,finished_good,13-digit
6955631312166,6955631312166,CN-大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631312180,6955631312180,CN-大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631311244,6955631311244,CN-大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631311688,6955631311688,CN-大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631312388,6955631312388,CN爱你(常规款)-大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631312296,6955631312296,CN爱你(礼盒款)-大耳狗,成品 - 成品,EMIE,finished_good,13-digit
